N_formulas,samples,batch_size,kernel_time_mean,kernel_time_std,transformer_time_mean,speedup
3000,4000,32,2.2413318157196045,0.00011289381969457877,9.412324984868368,0.23812732978545254
3000,4000,64,2.2413318157196045,0.00011289381969457877,9.180037101109823,0.24415280581476495
3000,4000,128,2.2413318157196045,0.00011289381969457877,9.117148637771606,0.24583692827316084
3000,4000,256,2.2413318157196045,0.00011289381969457877,9.13076368967692,0.24547035624781469
3000,4000,512,2.2413318157196045,0.00011289381969457877,9.200226306915283,0.2436170308153098
3000,4000,1024,2.2413318157196045,0.00011289381969457877,9.275092442830404,0.2416506174504106
4000,500,1,1.7024245262145996,0.000828860695771424,33.09689601262411,0.051437588756518014
4000,500,8,1.7024245262145996,0.000828860695771424,14.009355465571085,0.12152054606640685
4000,500,16,1.7024245262145996,0.000828860695771424,13.091741879781088,0.1300380454982715
4000,500,32,1.7024245262145996,0.000828860695771424,12.543991088867188,0.13571633734063349
4000,500,64,1.7024245262145996,0.000828860695771424,12.246235291163126,0.13901615359645
4000,500,128,1.7024245262145996,0.000828860695771424,12.14689842859904,0.14015302228973595
4000,500,256,1.7024245262145996,0.000828860695771424,12.17074187596639,0.13987845141768915
4000,500,512,1.7024245262145996,0.000828860695771424,12.246806859970093,0.13900966559529437
4000,500,1024,1.7024245262145996,0.000828860695771424,12.32701309521993,0.13810519329088342
4000,1000,1,2.080768664677938,0.0007619844443132229,33.09689601262411,0.06286899725836143
4000,1000,8,2.080768664677938,0.0007619844443132229,14.009355465571085,0.14852708033510637
4000,1000,16,2.080768664677938,0.0007619844443132229,13.091741879781088,0.15893749539100532
4000,1000,32,2.080768664677938,0.0007619844443132229,12.543991088867188,0.16587772184600988
4000,1000,64,2.080768664677938,0.0007619844443132229,12.246235291163126,0.1699108840558877
4000,1000,128,2.080768664677938,0.0007619844443132229,12.14689842859904,0.17130040865237753
4000,1000,256,2.080768664677938,0.0007619844443132229,12.17074187596639,0.1709648175832929
4000,1000,512,2.080768664677938,0.0007619844443132229,12.246806859970093,0.16990295417160023
4000,1000,1024,2.080768664677938,0.0007619844443132229,12.32701309521993,0.16879747337047948
4000,2000,1,2.316301186879476,0.0008420834934225898,33.09689601262411,0.06998545078051949
4000,2000,8,2.316301186879476,0.0008420834934225898,14.009355465571085,0.165339596998016
4000,2000,16,2.316301186879476,0.0008420834934225898,13.091741879781088,0.1769284185519099
4000,2000,32,2.316301186879476,0.0008420834934225898,12.543991088867188,0.1846542436509858
4000,2000,64,2.316301186879476,0.0008420834934225898,12.246235291163126,0.18914393948897235
4000,2000,128,2.316301186879476,0.0008420834934225898,12.14689842859904,0.19069075126419957
4000,2000,256,2.316301186879476,0.0008420834934225898,12.17074187596639,0.19031717297804868
4000,2000,512,2.316301186879476,0.0008420834934225898,12.246806859970093,0.18913511198176375
4000,2000,1024,2.316301186879476,0.0008420834934225898,12.32701309521993,0.18790449632747389
4000,3000,1,2.539177179336548,0.00047727231197146916,33.09689601262411,0.07671949594209779
4000,3000,8,2.539177179336548,0.00047727231197146916,14.009355465571085,0.181248679539665
4000,3000,16,2.539177179336548,0.00047727231197146916,13.091741879781088,0.1939525849694652
4000,3000,32,2.539177179336548,0.00047727231197146916,12.543991088867188,0.20242179393686527
4000,3000,64,2.539177179336548,0.00047727231197146916,12.246235291163126,0.20734349120082773
4000,3000,128,2.539177179336548,0.00047727231197146916,12.14689842859904,0.20903913820158646
4000,3000,256,2.539177179336548,0.00047727231197146916,12.17074187596639,0.20862961397206775
4000,3000,512,2.539177179336548,0.00047727231197146916,12.246806859970093,0.2073338143051885
4000,3000,1024,2.539177179336548,0.00047727231197146916,12.32701309521993,0.20598478801983017
4000,4000,1,2.9820239543914795,0.0011229624919799578,33.09689601262411,0.09009980734308286
4000,4000,8,2.9820239543914795,0.0011229624919799578,14.009355465571085,0.21285946821179605
4000,4000,16,2.9820239543914795,0.0011229624919799578,13.091741879781088,0.22777900616853156
4000,4000,32,2.9820239543914795,0.0011229624919799578,12.543991088867188,0.2377252927928202
4000,4000,64,2.9820239543914795,0.0011229624919799578,12.246235291163126,0.24350536172886583
4000,4000,128,2.9820239543914795,0.0011229624919799578,12.14689842859904,0.24549673909930034
4000,4000,256,2.9820239543914795,0.0011229624919799578,12.17074187596639,0.2450157915418528
4000,4000,512,2.9820239543914795,0.0011229624919799578,12.246806859970093,0.24349399712822464
4000,4000,1024,2.9820239543914795,0.0011229624919799578,12.32701309521993,0.24190969307462037
5000,500,1,2.147046168645223,0.0020298941707348303,41.34397220611572,0.05193129866528949
5000,500,8,2.147046168645223,0.0020298941707348303,17.668609380722046,0.12151755253516629
5000,500,16,2.147046168645223,0.0020298941707348303,16.52653972307841,0.12991504601819281
5000,500,32,2.147046168645223,0.0020298941707348303,15.826879183451334,0.13565821434273573
5000,500,64,2.147046168645223,0.0020298941707348303,15.45264458656311,0.13894360648870374
5000,500,128,2.147046168645223,0.0020298941707348303,15.362078030904135,0.13976274331675548
5000,500,256,2.147046168645223,0.0020298941707348303,15.400320053100586,0.13941568494954446
5000,500,512,2.147046168645223,0.0020298941707348303,15.528892358144125,0.1382613852377697
5000,500,1024,2.147046168645223,0.0020298941707348303,15.618491172790527,0.1374682192339847
5000,1000,1,2.6146322886149087,0.0010813696128758748,41.34397220611572,0.0632409550678864
5000,1000,8,2.6146322886149087,0.0010813696128758748,17.668609380722046,0.14798178126387776
5000,1000,16,2.6146322886149087,0.0010813696128758748,16.52653972307841,0.15820809028545263
5000,1000,32,2.6146322886149087,0.0010813696128758748,15.826879183451334,0.16520201224185635
5000,1000,64,2.6146322886149087,0.0010813696128758748,15.45264458656311,0.16920290077003838
5000,1000,128,2.6146322886149087,0.0010813696128758748,15.362078030904135,0.17020043013419225
5000,1000,256,2.6146322886149087,0.0010813696128758748,15.400320053100586,0.16977778900695625
5000,1000,512,2.6146322886149087,0.0010813696128758748,15.528892358144125,0.1683721046107751
5000,1000,1024,2.6146322886149087,0.0010813696128758748,15.618491172790527,0.1674062020260922
5000,2000,1,2.9113592306772866,0.0005329418566253174,41.34397220611572,0.07041798538764085
5000,2000,8,2.9113592306772866,0.0005329418566253174,17.668609380722046,0.16477579915563853
5000,2000,16,2.9113592306772866,0.0005329418566253174,16.52653972307841,0.17616266196436345
5000,2000,32,2.9113592306772866,0.0005329418566253174,15.826879183451334,0.18395030358994707
5000,2000,64,2.9113592306772866,0.0005329418566253174,15.45264458656311,0.18840524121087124
